제품명,자재명,업체명,자재단가,비고
황토점토치장벽돌,점토치장벽돌,삼한씨원,400원개,(슈퍼토담190×90×57기준 시공비·부가세별도)
광기능방오점토치장벽돌,점토치장벽돌,공간세라믹,550원개,(190x90x57기준 시공비·부가세별도)
광기능방오점토바닥벽돌,점토바닥벽돌,공간세라믹,1 000원개,(230x114x60기준 시공비·부가세별도)
거창석,거창석,대동석재공업 단천,33 000원㎡,(폭600기준 시공비·부가세별도)
포천석,포천석,대동석재공업 단천,35 000원㎡,(폭600기준 시공비·부가세별도)
가평석,가평석,대동석재공업 단천,50 000원㎡,(폭600기준 시공비·부가세별도)
고흥석,고흥석,대동석재공업 단천,55 000원㎡,(폭600기준 시공비·부가세별도)
마천석,마천석,대동석재공업 단천,80 000원㎡,(폭600기준 시공비·부가세별도)
현무암,현무암,대동석재공업 단천,80 000원㎡,(폭600기준 시공비·부가세별도)
C-BLACK,C-BLACK,대동석재공업 단천,75 000원㎡,(폭600기준 시공비·부가세별도)
Arari-Landscape,,정선대리석 단천,144 000~185 000원㎡,(폭600바닥기준 벽체:152 000~205 000 시공비·부가세별도)
Arari-Mountain,,정선대리석 단천,144 000~185 000원㎡,(폭600바닥기준 벽체:152 000~205 000 시공비·부가세별도)
Arari-Ocean,,정선대리석 단천,144 000~185 000원㎡,(폭600바닥기준 벽체:152 000~205 000 시공비·부가세별도)
Arari-Oak,,정선대리석 단천,144 000~185 000원㎡,(폭600바닥기준 벽체:152 000~205 000 시공비·부가세별도)
Arari-RollerCut,,정선대리석 단천,187 000~231 000원㎡,(폭600벽체기준 시공비·부가세별도)
Arari-Honed,,정선대리석 단천,132 000~164 000원㎡,(폭600바닥기준 벽체:144 000~185 000 시공비·부가세별도)
Arari-SplitFace,,정선대리석 단천,416 000원㎡,(폭600벽체기준 시공비·부가세별도)
LOCOTERA-PANEL,테라코타세라믹패널,로코파트너스,152 000원㎡,(시공비포함 부가세별도)
FASIGN테라코타,테라코타세라믹패널,썬파크,180 000~220 000원㎡,(옹벽有 시공비·부가세별도)
TEERACOTTA,테라코타세라믹패널,가이인터내셔날,155 000~175 000원㎡,(RC구조 시공비·부가세별도)
KERATWIN,테라코타세라믹패널,가이인터내셔날,175 000~200 000원㎡,(RC구조 시공비·부가세별도)
테라패널,테라코타세라믹패널,우정특수,160 000~180 000원㎡,(RC구조 시공비·부가세별도)
FASIGNTHESIZE,세라믹패널(도자기질),썬파크가이인터내셔날,180 000원㎡,(옹벽有 시공비·부가세별도)
KERAION,세라믹패널(도자기질),가이인터내셔날,175 000~230 000원㎡,(RC구조 시공비·부가세별도)
LAMINAM,세라믹패널(도자기질),가이인터내셔날,175 000~250 000원㎡,(RC구조 시공비·부가세별도)
테라솔리드,세라믹패널(도자기질),벽산,160 000원㎡,(16㎜기준 시공비·부가세별도)
SSAP-PREVENT,침투식액체방수,부일건화,15 645원㎡,(시공비·부가세별도)
뉴-워터스톱,침투식액체방수,중앙방수기업,11 500원㎡,(시공비·부가세별도)
뉴스타,침투식액체방수,한양엔티,14 000원㎡,(바닥·벽체기준 시공비포함 부가세별도)
SSAP-PREMIX,침투성방수,부일건화,20 820원㎡,(시공비·부가세별도)
류-하이스트,침투성방수,중앙방수기업,13 500원㎡,(시공비·부가세별도)
하이니스,침투성방수,한양엔티,18 000원㎡,(바닥·벽체기준 시공비포함 부가세별도)
합성씰,고무화아스팔트도막방수,중앙방수기업,26 000원㎡,(시공비·부가세별도)
화인씰코트,고무화아스팔트도막방수,한양엔티,27 000원㎡,(바닥·벽체기준 시공비포함 부가세별도)
SSAP우레탄,우레탄도막방수,부일건화,33 959원㎡,(비노출기준 노출:39 393 시공비·부가세별도)
류-코트,우레탄도막방수,중앙방수기업,26 000원㎡,(시공비·부가세별도)
스타탄,우레탄도막방수,한양엔티,22 000원㎡,(비노출기준 노출:27 000 시공비포함 부가세별도)
SSAPFLEX-500,탄성도막방수,부일건화,26 391원㎡,(시공비·부가세별도)
그린코트,탄성도막방수,중앙방수기업,18 500원㎡,(시공비·부가세별도)
스타코트(무기질),탄성도막방수,한양엔티,18 000원㎡,(비노출 3공법 바닥·벽체기준 시공비포함 부가세별도)
SSAP복합방수,우레탄복합방수,부일건화,39 644원㎡,(비노출기준 노출:48 946 시공비·부가세별도)
류-리노텍,우레탄복합방수,중앙방수기업,37 000원㎡,(노출기준 시공비·부가세별도)
SSAP친화형복합방수,고무아스팔트복합방수,부일건화,33 632원㎡,(시공비·부가세별도)
류-파워텍,고무아스팔트복합방수,중앙방수기업,33 000원㎡,(비노출기준 시공비·부가세별도)
파워코트,고무아스팔트복합방수,중앙방수기업,29 000원㎡,(시공비·부가세별도)
PET일체형방근복합공법,방근복합방수,부일건화,37 938원㎡,(시공비·부가세별도)
류-그린텍,방근복합방수,중앙방수기업,38 500원㎡,(시공비·부가세별도)
스타그린,방근복합방수,한양엔티,42 000원㎡,(비노출·바닥기준 비노출·벽체:45 000 노출·바닥:48 000 노출·벽체:51 000 시공비포함 부가세별도)
LLPP복합방수,구조결합복합방수,부일건화,40 747원㎡,(비노출기준 노출:49 710 시공비·부가세별도)
프렉스,일체형복합방수,한양엔티,39 000원㎡,(비노출·바닥기준 비노출·벽체:35 000 노출·바닥:48 000 노출·벽체:37 000 시공비포함 부가세별도)
Ice&WaterShield,비노출형자착식방수시트,고려신소재산업,9 000원㎡,(시공비·부가세별도)
EPDM,노출형자착식방수시트,고려신소재산업,44 000원㎡,(시공비·부가세별도)
SuperGuard(TPO),노출형자착식방수시트,원풍C&S,0원㎡,(시공비·부가세별도)
Tyvek1560B TyvekSUPRO,투습방수지,고려신소재산업,2 400원㎡,(벽체기준 지붕:4 100 시공비·부가세별도)
TyvekEnercor,투습방수지,고려신소재산업,4 700원㎡,(벽체기준 지붕:8 500 시공비·부가세별도)
TyvekUvfacade,투습방수지,고려신소재산업,9 000원㎡,(시공비·부가세별도)
AirGuardSmart(8407A),방습지,고려신소재산업,6 000원㎡,(시공비·부가세별도)
AirGuardReflective(5814X),방습지,고려신소재산업,5 000원㎡,(시공비·부가세별도)
AirGuardSD23(8207A),방습지,고려신소재산업,4 500원㎡,(시공비·부가세별도)
AirGuardSD5(8327AD)TyvekVCL,방습지,고려신소재산업,3 900원㎡,(시공비·부가세별도)
TPODeck,복합패널(TPORoof),기린산업,58 000원㎡,(시공비포함 부가세별도)
MONORoof,복합패널(StandingSeamRoof),기린산업,75 000원㎡,(시공비포함 부가세별도)
OMEGARoof,복합패널(RoundRoof),기린산업,65 000원㎡,(시공비포함 부가세별도)
ACODeck,복합패널(흡음DeckRoof),기린산업,70 000원㎡,(시공비포함 부가세별도)
POLYDeck,복합패널(DeckRoof),기린산업,60 000원㎡,(시공비포함 부가세별도)
STRONGRoof,복합패널(PIRRoof),기린산업,45 000원㎡,(시공비포함 부가세별도)
아노다이징시트,알루미늄,디오팬코리아,150 000~175 000원㎡,(시공비·부가세별도)
